iter	RMSE
0	0.567689956
1	0.5564731639
2	0.5461959301
3	0.5367357883
4	0.5270160643
5	0.5171355095
6	0.5074716731
7	0.4982931563
8	0.4897128404
9	0.4825883717
10	0.4744975454
11	0.4665287833
12	0.4585942917
13	0.4516327201
14	0.4446988933
15	0.4386290931
16	0.4321521603
17	0.426792182
18	0.4206327568
19	0.4143862824
20	0.4086707347
21	0.4031784206
22	0.3978682581
23	0.3924437521
24	0.3871953367
25	0.3826684022
26	0.378079016
27	0.3732822744
28	0.3686095608
29	0.3647193046
30	0.3606524406
31	0.3568261353
32	0.3533661244
33	0.349904381
34	0.3463264762
35	0.3428388285
36	0.3390411751
37	0.3360585092
38	0.3326336233
39	0.3294666432
40	0.3264401049
41	0.323488283
42	0.3208766276
43	0.3182707122
44	0.3158023784
45	0.3135825563
46	0.311081646
47	0.3088420557
48	0.3066847007
49	0.3045183516
50	0.3025608238
51	0.300160586
52	0.29819833
53	0.2959987118
54	0.2942825438
55	0.292149337
56	0.2905029589
57	0.2887026437
58	0.2868006328
59	0.2852294037
60	0.2837603404
61	0.2821644199
62	0.2806822046
63	0.2794904835
64	0.2779326246
65	0.2767808784
66	0.2754629403
67	0.2739833171
68	0.2727789319
69	0.2714285091
70	0.2702978053
71	0.2692209793
72	0.2680513829
73	0.2674285197
74	0.2661223841
75	0.2653251942
76	0.2641558697
77	0.2630337654
78	0.26205217
79	0.2611727875
80	0.260101361
81	0.259377889
82	0.2582805828
83	0.257524095
84	0.2566980928
85	0.255824386
86	0.2550295913
87	0.2542357685
88	0.2534657674
89	0.2527793766
90	0.2522159675
91	0.2514073674
92	0.2506511137
93	0.2499573054
94	0.2493792872
95	0.2488261488
96	0.2482055989
97	0.2476174743
98	0.2469703811
99	0.2464318109
100	0.2458547985
101	0.2453651926
102	0.2446254236
103	0.2441033103
104	0.2436037766
105	0.2430301972
106	0.2425771117
107	0.2421055887
108	0.2413903624
109	0.2409744843
110	0.2405629102
111	0.2399865002
112	0.2394776878
113	0.2390164585
114	0.2386190307
115	0.2381143256
116	0.2375821232
117	0.237300888
118	0.2369310276
119	0.2365083684
120	0.2359918777
121	0.2356339159
122	0.235186725
123	0.2348144043
124	0.2343209525
125	0.2339685274
126	0.2334961954
127	0.2331162605
128	0.2326848454
129	0.2322605589
130	0.2319191031
131	0.2316253235
132	0.2312205809
133	0.2309654567
134	0.230714121
135	0.2301367705
136	0.2298769378
137	0.2295632177
138	0.229296491
139	0.2289844919
140	0.2287115598
141	0.2282793151
142	0.2278936614
143	0.2275803003
144	0.227256356
145	0.226962841
146	0.2266896515
147	0.2262891258
148	0.2260361933
149	0.2256522894
150	0.2253705051
151	0.2251665214
152	0.2248608797
153	0.2245960577
154	0.2242225994
155	0.2239216678
156	0.2235314992
157	0.2232815512
158	0.2229793584
159	0.2227936131
160	0.2226796818
161	0.2224756531
162	0.2222126103
163	0.2218992155
164	0.2215519353
165	0.2213187473
166	0.2210970895
167	0.2208783622
168	0.2205699986
169	0.22038311
170	0.2200912741
171	0.2198865009
172	0.219612903
173	0.21933149
174	0.2188994315
175	0.2187096272
176	0.2184940361
177	0.2182061398
178	0.217905223
179	0.2176943106
180	0.2173902104
181	0.217202878
182	0.2169857848
