iter	Passed	Remaining
0	2	3070
1	3	2830
2	5	2720
3	7	2658
4	8	2614
5	10	2595
6	12	2581
7	13	2582
8	15	2575
9	17	2574
10	18	2501
11	20	2500
12	21	2492
13	23	2486
14	25	2482
15	26	2477
16	28	2471
17	30	2473
18	31	2474
19	33	2473
20	35	2476
21	36	2475
22	38	2474
23	40	2472
24	41	2472
25	43	2468
26	45	2467
27	46	2463
28	48	2462
29	50	2464
30	52	2468
31	53	2470
32	55	2468
33	57	2469
34	59	2470
35	60	2471
36	62	2472
37	64	2472
38	65	2471
39	67	2468
40	69	2464
41	70	2463
42	72	2461
43	74	2464
44	76	2471
45	78	2474
46	80	2475
47	81	2475
48	83	2477
49	85	2479
50	87	2482
51	89	2481
52	91	2485
53	92	2488
54	94	2486
55	96	2487
56	98	2488
57	100	2488
58	101	2486
59	103	2483
60	105	2482
61	107	2484
62	108	2484
63	110	2483
64	112	2480
65	114	2480
66	115	2479
67	117	2480
68	119	2480
69	121	2479
70	123	2476
71	124	2474
72	126	2475
73	127	2458
74	129	2457
75	131	2455
76	132	2454
77	134	2457
78	136	2460
79	138	2460
80	140	2459
81	142	2457
82	143	2454
83	145	2453
84	147	2453
85	149	2452
86	150	2449
87	152	2448
88	154	2449
89	156	2449
90	157	2446
91	159	2445
92	161	2444
93	163	2441
94	165	2441
95	166	2440
96	168	2438
97	170	2435
98	171	2433
99	173	2433
100	175	2432
101	177	2429
102	179	2429
103	180	2427
104	182	2425
105	184	2423
106	186	2422
107	187	2420
108	189	2419
109	191	2418
110	193	2416
111	194	2414
112	196	2411
113	198	2411
114	200	2408
115	201	2406
116	203	2404
117	205	2402
118	206	2399
119	208	2397
120	210	2395
121	211	2394
122	213	2392
123	215	2391
124	217	2388
125	218	2386
126	220	2383
127	222	2382
128	224	2381
129	225	2380
130	227	2379
131	229	2377
132	231	2377
133	233	2375
134	234	2373
135	236	2370
136	238	2368
137	239	2366
138	241	2364
139	243	2362
140	244	2360
141	246	2357
142	248	2355
143	249	2353
144	251	2351
145	253	2349
146	255	2347
147	256	2344
148	258	2341
149	259	2339
150	261	2337
151	263	2334
152	264	2332
153	266	2330
154	268	2328
155	270	2326
156	271	2323
157	273	2321
158	274	2318
159	276	2315
160	277	2306
161	278	2304
162	280	2301
163	282	2299
164	283	2296
165	285	2294
166	287	2291
167	288	2289
168	290	2287
169	292	2285
170	293	2283
171	295	2280
172	297	2278
173	298	2276
174	300	2274
175	301	2271
176	303	2269
177	305	2266
178	306	2264
179	308	2261
180	309	2258
181	311	2256
182	313	2254
