iter	Passed	Remaining
0	2	3041
1	3	2857
2	5	2789
3	7	2710
4	8	2683
5	10	2677
6	12	2661
7	14	2636
8	15	2632
9	17	2644
10	19	2575
11	20	2573
12	22	2559
13	24	2557
14	25	2548
15	27	2537
16	29	2533
17	30	2532
18	32	2528
19	34	2522
20	35	2521
21	37	2525
22	39	2522
23	40	2516
24	42	2517
25	44	2519
26	46	2519
27	47	2513
28	49	2511
29	51	2509
30	52	2506
31	54	2501
32	56	2499
33	57	2499
34	59	2497
35	61	2494
36	62	2490
37	64	2489
38	66	2495
39	68	2489
40	69	2485
41	71	2481
42	73	2476
43	74	2469
44	76	2465
45	77	2462
46	79	2457
47	81	2453
48	82	2448
49	84	2447
50	85	2441
51	87	2435
52	89	2430
53	90	2428
54	92	2423
55	93	2421
56	95	2415
57	97	2413
58	98	2409
59	100	2405
60	101	2400
61	103	2397
62	105	2395
63	106	2391
64	108	2388
65	109	2388
66	111	2386
67	113	2385
68	114	2382
69	116	2380
70	118	2379
71	119	2378
72	121	2378
73	122	2363
74	124	2365
75	126	2363
76	127	2360
77	129	2358
78	131	2358
79	132	2356
80	134	2353
81	136	2352
82	137	2351
83	139	2348
84	141	2347
85	142	2346
86	144	2346
87	146	2344
88	147	2342
89	149	2340
90	151	2339
91	152	2336
92	154	2334
93	155	2332
94	157	2330
95	159	2328
96	160	2326
97	162	2324
98	164	2323
99	165	2321
100	167	2319
101	169	2317
102	170	2316
103	172	2314
104	174	2312
105	175	2311
106	177	2310
107	179	2308
108	180	2307
109	182	2304
110	184	2303
111	185	2301
112	187	2301
113	189	2300
114	190	2299
115	192	2297
116	194	2295
117	195	2294
118	197	2292
119	199	2290
120	200	2288
121	202	2286
122	204	2284
123	205	2282
124	207	2280
125	209	2279
126	210	2277
127	212	2275
128	213	2272
129	215	2271
130	217	2270
131	219	2270
132	220	2269
133	222	2269
134	224	2267
135	225	2265
136	227	2264
137	229	2263
138	230	2261
139	232	2259
140	234	2258
141	236	2257
142	237	2256
143	239	2254
144	241	2252
145	242	2250
146	244	2248
147	246	2247
148	247	2245
149	249	2244
150	251	2242
151	252	2242
152	254	2240
153	256	2240
154	257	2238
155	259	2236
156	261	2235
157	262	2233
158	264	2231
159	266	2230
160	267	2222
161	269	2221
162	270	2220
163	272	2217
164	273	2216
165	275	2216
166	277	2214
167	279	2212
168	280	2210
169	282	2210
170	284	2208
171	285	2206
172	287	2204
173	289	2203
174	290	2201
175	292	2198
176	293	2196
177	295	2196
178	297	2194
179	298	2192
180	300	2189
181	302	2188
182	303	2186
